TimeInterval,TradeCount,Volume,NYSE MKT,NYSE Arca SM,NASDAQ OMX BX,BATS,National,NASDAQ,CBOE,Direct Edge X,NASDAQ OMX PSX,BATS Y,Direct Edge A
2014-03-13 09:46:26,12,3655,0,1,0,2754,0,900,0,0,0,0,0
2014-03-13 09:46:33,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 09:46:34,20,2213,0,700,0,203,0,1300,0,10,0,0,0
2014-03-13 09:46:36,32,6300,0,53,100,2200,100,2250,0,1297,0,300,0
2014-03-13 09:46:37,68,14365,400,2454,600,2104,100,7500,0,507,0,400,300
2014-03-13 09:46:39,16,4006,400,102,0,501,0,2500,0,503,0,0,0
2014-03-13 09:46:52,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:47:02,3,359,0,300,59,0,0,0,0,0,0,0,0
2014-03-13 09:47:03,1,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:47:09,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:47:28,13,1852,0,102,0,203,0,1300,0,200,0,0,47
2014-03-13 09:47:31,35,7701,0,2501,300,1200,0,2800,0,900,0,0,0
2014-03-13 09:47:35,28,4212,0,2103,0,700,0,906,0,303,0,0,200
2014-03-13 09:47:37,2,400,0,0,0,0,0,0,0,0,0,0,400
2014-03-13 09:47:39,14,2101,0,400,200,800,0,700,0,1,0,0,0
2014-03-13 09:47:43,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:47:45,33,8231,0,5121,0,607,0,2500,0,3,0,0,0
2014-03-13 09:47:46,28,4587,0,151,500,1104,0,1622,0,210,0,500,500
2014-03-13 09:47:48,44,8888,400,1004,100,3000,100,2679,0,1005,0,600,0
2014-03-13 09:47:49,8,1004,400,100,0,201,0,100,0,203,0,0,0
2014-03-13 09:47:52,18,3603,0,1701,0,598,0,800,0,404,0,0,100
2014-03-13 09:48:04,4,12,0,0,0,0,0,0,0,12,0,0,0
2014-03-13 09:48:06,1,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:48:08,45,8038,0,2002,100,999,0,2833,0,1704,0,300,100
2014-03-13 09:48:09,10,1200,0,0,200,297,200,100,0,3,0,200,200
2014-03-13 09:48:10,13,5200,400,200,0,202,0,4300,0,98,0,0,0
2014-03-13 09:48:15,8,1600,0,100,0,0,0,1500,0,0,0,0,0
2014-03-13 09:48:16,65,17306,700,1403,500,3800,0,8700,0,1203,0,400,600
2014-03-13 09:48:20,12,1851,0,501,0,700,0,450,0,200,0,0,0
2014-03-13 09:48:32,46,10610,0,2800,200,1504,100,4806,0,700,0,500,0
2014-03-13 09:48:36,5,500,0,100,0,100,0,300,0,0,0,0,0
2014-03-13 09:48:54,35,3511,100,300,0,1007,0,500,0,704,0,100,800
2014-03-13 09:48:57,3,900,0,0,0,0,0,700,0,0,0,200,0
2014-03-13 09:49:41,95,18895,0,4870,300,2612,200,7612,0,2203,0,798,300
2014-03-13 09:49:42,7,1200,400,0,0,0,200,500,0,0,0,100,0
2014-03-13 09:49:55,2,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:49:58,44,12808,0,3000,0,1704,0,6100,0,1704,0,100,200
2014-03-13 09:49:59,10,1700,400,0,300,0,200,200,0,0,0,300,300
2014-03-13 09:50:00,3,600,0,0,0,600,0,0,0,0,0,0,0
2014-03-13 09:50:01,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:50:02,3,200,0,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:50:09,12,1501,0,200,0,100,0,1001,0,200,0,0,0
2014-03-13 09:50:14,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:50:18,21,2901,0,1301,400,200,0,100,0,100,0,800,0
2014-03-13 09:50:23,2,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:50:24,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:50:28,149,34774,0,3009,2100,12801,200,7600,0,6564,0,1100,1400
2014-03-13 09:50:33,2,6,0,0,0,0,0,0,0,6,0,0,0
