TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,National,Direct Edge A,BATS,NASDAQ OMX PSX,Direct Edge X,NYSE Arca SM,CBOE,NASDAQ,BATS Y
2014-03-13 09:39:36,2,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:39:37,27,2644,0,100,0,100,100,0,1329,200,0,815,0
2014-03-13 09:39:38,7,766,0,0,0,0,0,0,651,100,0,15,0
2014-03-13 09:39:42,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:39:43,1,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:39:44,18,1900,0,200,0,100,100,0,100,500,0,800,100
2014-03-13 09:39:47,1,1,0,0,0,0,0,0,0,0,0,1,0
2014-03-13 09:39:48,7,700,0,0,0,0,100,0,0,200,0,400,0
2014-03-13 09:39:49,5,500,0,0,0,0,0,0,0,400,0,100,0
2014-03-13 09:39:50,13,1300,0,0,0,0,0,0,0,1000,0,300,0
2014-03-13 09:39:51,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:39:52,3,202,0,0,0,0,0,0,0,2,0,200,0
2014-03-13 09:39:56,2,200,0,0,0,0,0,0,100,100,0,0,0
2014-03-13 09:40:00,17,4627,0,0,0,0,500,0,393,0,0,3734,0
2014-03-13 09:40:01,2,140,0,0,0,0,0,0,0,0,0,140,0
2014-03-13 09:40:02,5,500,0,0,0,0,0,0,0,0,0,0,500
2014-03-13 09:40:07,3,300,0,0,0,0,100,0,200,0,0,0,0
2014-03-13 09:40:08,2,103,0,0,0,0,0,0,0,0,0,103,0
2014-03-13 09:40:09,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:40:11,6,388,0,0,0,0,0,0,0,288,0,100,0
2014-03-13 09:40:13,8,749,0,0,0,0,0,0,0,312,0,437,0
2014-03-13 09:40:14,3,300,0,0,0,0,0,0,0,100,0,200,0
2014-03-13 09:40:15,3,203,0,0,0,0,0,0,0,200,0,3,0
2014-03-13 09:40:16,21,2200,0,0,0,0,0,0,200,1000,0,1000,0
2014-03-13 09:40:18,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:40:20,17,1600,0,0,0,0,0,0,100,1300,0,200,0
2014-03-13 09:40:21,2,200,0,0,0,0,0,0,0,100,0,100,0
2014-03-13 09:40:22,3,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:40:23,6,900,0,0,0,0,0,0,0,800,0,100,0
2014-03-13 09:40:24,5,425,0,0,0,0,0,0,0,325,0,100,0
2014-03-13 09:40:26,7,449,0,0,0,17,0,0,0,132,0,300,0
2014-03-13 09:40:30,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:40:35,10,960,0,0,0,0,0,0,50,0,0,410,500
2014-03-13 09:40:36,2,150,0,0,0,0,0,0,0,100,0,50,0
2014-03-13 09:40:41,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:40:47,7,1000,0,0,0,0,0,0,300,100,0,600,0
2014-03-13 09:40:51,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:40:52,2,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:40:54,3,400,0,0,0,0,0,0,0,0,0,400,0
2014-03-13 09:40:55,11,1100,0,0,0,0,0,0,300,200,0,600,0
2014-03-13 09:40:56,4,367,0,0,0,0,0,0,250,116,0,1,0
2014-03-13 09:40:57,4,400,0,0,0,0,200,0,0,0,0,200,0
2014-03-13 09:40:58,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:41:03,3,300,0,0,0,0,0,0,0,0,0,300,0
2014-03-13 09:41:06,1,40,0,0,0,0,0,0,0,0,0,40,0
2014-03-13 09:41:09,5,310,0,0,0,0,0,0,0,100,0,210,0
2014-03-13 09:41:10,1,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:41:11,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:41:17,2,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:41:18,7,700,0,0,0,0,200,0,300,200,0,0,0
2014-03-13 09:41:19,16,2025,0,0,0,0,0,0,2020,0,0,5,0
