TimeInterval,TradeCount,Volume,Direct Edge A,Direct Edge X,NASDAQ OMX PSX,NASDAQ OMX,NYSE Arca SM,NASDAQ OMX BX,BATS,CBOE,BATS Y,National,NYSE
2014-03-13 09:55:43,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:55:47,1,400,0,0,0,0,0,0,0,0,400,0,0
2014-03-13 09:55:55,2,842,0,0,0,0,0,0,0,0,842,0,0
2014-03-13 09:55:56,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:56:01,6,1700,0,0,0,0,0,0,0,0,1700,0,0
2014-03-13 09:56:03,1,300,0,0,0,0,0,0,0,0,300,0,0
2014-03-13 09:56:08,2,200,0,0,0,0,100,0,100,0,0,0,0
2014-03-13 09:56:09,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:56:29,1,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:57:16,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:57:22,3,300,0,0,0,0,0,300,0,0,0,0,0
2014-03-13 09:57:37,7,1500,0,0,0,0,0,1500,0,0,0,0,0
2014-03-13 09:58:02,3,300,0,0,0,0,0,200,0,0,100,0,0
2014-03-13 09:58:03,11,24344,1100,44,0,0,0,200,0,0,100,0,22900
2014-03-13 09:58:04,6,3200,100,1700,0,0,0,100,0,0,0,0,1300
2014-03-13 09:58:08,6,1800,700,0,0,0,0,0,0,0,1000,0,100
2014-03-13 09:58:13,78,41372,2100,19657,0,10700,2015,400,4400,0,1000,0,1100
2014-03-13 09:58:14,17,5100,0,0,0,0,0,0,0,0,5100,0,0
2014-03-13 09:58:25,2,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:58:36,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:59:40,2,300,0,0,0,0,0,0,0,0,300,0,0
2014-03-13 10:00:02,1,400,0,0,0,0,0,400,0,0,0,0,0
2014-03-13 10:00:03,1,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 10:00:09,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:00:17,5,3800,0,0,0,0,0,400,0,0,0,0,3400
2014-03-13 10:00:19,1,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 10:00:43,56,47035,3700,11800,100,3,6,800,4,0,5600,0,25022
2014-03-13 10:00:45,1,56,0,0,0,56,0,0,0,0,0,0,0
2014-03-13 10:00:47,9,2203,100,903,0,0,0,0,0,0,100,0,1100
2014-03-13 10:00:53,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 10:01:02,2,200,0,0,0,0,0,100,0,0,100,0,0
2014-03-13 10:01:18,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 10:02:43,2,1200,1100,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:02:44,2,1700,1600,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:02:45,9,2500,1600,0,0,0,0,100,800,0,0,0,0
2014-03-13 10:02:47,3,300,100,0,0,0,0,200,0,0,0,0,0
2014-03-13 10:02:48,2,800,100,0,0,0,0,0,0,0,0,0,700
2014-03-13 10:02:51,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:03:06,7,904,100,704,0,0,0,100,0,0,0,0,0
2014-03-13 10:03:11,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 10:03:21,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:03:32,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:03:33,2,400,0,0,0,0,0,100,0,0,0,0,300
2014-03-13 10:03:34,3,400,100,0,0,0,0,100,0,0,200,0,0
2014-03-13 10:03:36,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 10:03:46,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:03:51,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 10:03:56,6,3000,100,0,0,0,0,200,200,0,1000,0,1500
2014-03-13 10:04:03,2,200,0,0,0,0,0,100,0,0,100,0,0
2014-03-13 10:04:04,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:04:06,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 10:04:12,4,500,100,0,0,0,0,200,0,0,0,0,200
