"","Date","TOD","Exchange","Volume","Proportion"
"490",20140616,"Open","BATS",0,0
"491",20140617,"Open","BATS",0,0
"492",20140618,"Open","BATS",0,0
"493",20140619,"Open","BATS",0,0
"494",20140620,"Open","BATS",0,0
"495",20140623,"Open","BATS",0,0
"496",20140624,"Open","BATS",0,0
"497",20140625,"Open","BATS",0,0
"498",20140626,"Open","BATS",0,0
"499",20140627,"Open","BATS",0,0
"500",20140630,"Open","BATS",0,0
"501",20140701,"Open","BATS",0,0
"502",20140702,"Open","BATS",0,0
"503",20140703,"Open","BATS",0,0
"504",20140707,"Open","BATS",0,0
"505",20140708,"Open","BATS",0,0
"506",20140709,"Open","BATS",0,0
"507",20140710,"Open","BATS",0,0
"508",20140711,"Open","BATS",0,0
"509",20140714,"Open","BATS",0,0
"510",20140715,"Open","BATS",0,0
"511",20140716,"Open","BATS",0,0
"512",20140717,"Open","BATS",0,0
"513",20140718,"Open","BATS",0,0
"514",20140721,"Open","BATS",0,0
"515",20140722,"Open","BATS",0,0
"516",20140723,"Open","BATS",0,0
"517",20140724,"Open","BATS",0,0
"518",20140725,"Open","BATS",0,0
"519",20140728,"Open","BATS",0,0
"520",20140729,"Open","BATS",0,0
"521",20140730,"Open","BATS",0,0
"522",20140731,"Open","BATS",0,0
"523",20140801,"Open","BATS",0,0
"524",20140804,"Open","BATS",0,0
"525",20140805,"Open","BATS",0,0
"526",20140806,"Open","BATS",0,0
"527",20140807,"Open","BATS",0,0
"528",20140808,"Open","BATS",0,0
"529",20140811,"Open","BATS",0,0
"530",20140812,"Open","BATS",0,0
"531",20140813,"Open","BATS",0,0
"532",20140814,"Open","BATS",0,0
"533",20140815,"Open","BATS",0,0
"534",20140818,"Open","BATS",0,0
"535",20140819,"Open","BATS",0,0
"536",20140820,"Open","BATS",0,0
"537",20140821,"Open","BATS",0,0
"538",20140822,"Open","BATS",0,0
"539",20140825,"Open","BATS",0,0
"540",20140826,"Open","BATS",0,0
"541",20140827,"Open","BATS",0,0
"542",20140828,"Open","BATS",0,0
"543",20140829,"Open","BATS",0,0
"544",20140902,"Open","BATS",0,0
"545",20140903,"Open","BATS",0,0
"546",20140904,"Open","BATS",0,0
"547",20140905,"Open","BATS",0,0
"548",20140908,"Open","BATS",0,0
"549",20140909,"Open","BATS",0,0
"550",20140910,"Open","BATS",0,0
"551",20140911,"Open","BATS",0,0
"552",20140912,"Open","BATS",0,0
"553",20140915,"Open","BATS",0,0
"554",20140916,"Open","BATS",0,0
"555",20140917,"Open","BATS",0,0
"556",20140918,"Open","BATS",0,0
"557",20140919,"Open","BATS",0,0
"558",20140922,"Open","BATS",0,0
"559",20140923,"Open","BATS",0,0
"560",20140924,"Open","BATS",0,0
"561",20140925,"Open","BATS",0,0
"562",20140926,"Open","BATS",0,0
"563",20140929,"Open","BATS",0,0
"564",20140930,"Open","BATS",0,0
"565",20140102,"Regular","BATS",17698627,0.0631297252809609
"566",20140103,"Regular","BATS",16594444,0.0671386494519371
"567",20140106,"Regular","BATS",16264243,0.0608567038848519
"568",20140107,"Regular","BATS",15642031,0.0618486329158215
"569",20140108,"Regular","BATS",17771495,0.0693293860598011
"570",20140109,"Regular","BATS",16939252,0.0658549723090356
"571",20140110,"Regular","BATS",15487954,0.0665846871797782
"572",20140113,"Regular","BATS",15609819,0.0669593270733515
"573",20140114,"Regular","BATS",16576844,0.0618868618223648
"574",20140115,"Regular","BATS",47210954,0.0938378962169944
"575",20140116,"Regular","BATS",21441248,0.0662520602333985
"576",20140117,"Regular","BATS",18301222,0.060868543434522
"577",20140121,"Regular","BATS",20996918,0.0661734278785766
"578",20140122,"Regular","BATS",14244148,0.0515190630705413
"579",20140123,"Regular","BATS",18078916,0.0582473817198602
"580",20140124,"Regular","BATS",24304233,0.0683275315510471
"581",20140127,"Regular","BATS",21978102,0.0687421490577725
"582",20140128,"Regular","BATS",18682237,0.0734873498296875
"583",20140129,"Regular","BATS",29130611,0.0838434175824288
"584",20140130,"Regular","BATS",15401370,0.0656383641033387
"585",20140131,"Regular","BATS",22628156,0.0802594745243276
"586",20140203,"Regular","BATS",30238652,0.0745355177722731
"587",20140204,"Regular","BATS",20732271,0.0735148799253213
"588",20140205,"Regular","BATS",18742054,0.0704031522610695
"589",20140206,"Regular","BATS",15538923,0.0543135444215341
"590",20140207,"Regular","BATS",14940828,0.0486713206835893
"591",20140210,"Regular","BATS",13557758,0.0586901652003098
"592",20140211,"Regular","BATS",15449371,0.061961657110988
"593",20140212,"Regular","BATS",13005110,0.0607710666786653
"594",20140213,"Regular","BATS",16370769,0.0642929252297603
"595",20140214,"Regular","BATS",13880156,0.0572649940575034
"596",20140218,"Regular","BATS",16512710,0.0683787508088881
"597",20140219,"Regular","BATS",16302219,0.0594984160392786
"598",20140220,"Regular","BATS",15683437,0.065326129751298
"599",20140221,"Regular","BATS",14257871,0.0640399296211963
"600",20140224,"Regular","BATS",15856224,0.0667440787702692
"601",20140225,"Regular","BATS",15250664,0.0629855054690329
"602",20140226,"Regular","BATS",15983327,0.0654922786027557
