TimeInterval,TradeCount,Volume,BATS Y,NASDAQ OMX PSX,Direct Edge X,Chicago,BATS,CBOE,Direct Edge A,NASDAQ,NYSE Arca SM,NASDAQ OMX BX,National
2014-03-13 09:46:04,1,2,0,0,0,0,0,0,2,0,0,0,0
2014-03-13 09:46:19,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:46:24,7,463,0,0,2,0,200,0,0,161,100,0,0
2014-03-13 09:46:29,2,160,0,0,0,0,0,0,0,80,80,0,0
2014-03-13 09:46:31,2,125,0,0,0,0,0,0,0,125,0,0,0
2014-03-13 09:46:32,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:46:33,3,90,0,0,0,0,0,0,0,90,0,0,0
2014-03-13 09:46:44,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:47:02,1,15,0,0,0,0,0,0,0,15,0,0,0
2014-03-13 09:47:04,1,43,0,0,43,0,0,0,0,0,0,0,0
2014-03-13 09:47:10,1,25,0,0,0,0,25,0,0,0,0,0,0
2014-03-13 09:47:15,3,20,0,0,0,0,6,0,0,14,0,0,0
2014-03-13 09:47:16,2,13,0,0,0,0,6,0,0,0,7,0,0
2014-03-13 09:47:17,1,10,0,0,0,0,0,0,0,0,10,0,0
2014-03-13 09:47:18,10,598,0,0,290,0,100,0,100,107,1,0,0
2014-03-13 09:47:21,1,18,0,0,0,0,0,0,0,0,0,18,0
2014-03-13 09:47:29,2,106,0,0,0,0,0,0,106,0,0,0,0
2014-03-13 09:47:36,1,35,0,0,0,0,0,0,0,35,0,0,0
2014-03-13 09:47:41,1,6,0,0,0,0,0,0,0,6,0,0,0
2014-03-13 09:47:48,1,6,0,0,0,0,0,0,0,6,0,0,0
2014-03-13 09:48:17,1,6,0,0,6,0,0,0,0,0,0,0,0
2014-03-13 09:48:19,3,117,0,0,17,0,0,0,0,0,100,0,0
2014-03-13 09:48:21,2,102,0,0,0,0,0,0,0,0,100,2,0
2014-03-13 09:48:28,7,339,0,0,0,0,0,0,0,338,1,0,0
2014-03-13 09:48:29,2,186,0,0,0,0,0,0,0,100,0,86,0
2014-03-13 09:48:40,5,400,100,0,0,0,200,0,0,100,0,0,0
2014-03-13 09:48:46,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:48:48,4,82,0,0,0,0,0,0,0,0,82,0,0
2014-03-13 09:48:49,1,18,0,0,0,0,0,0,0,0,18,0,0
2014-03-13 09:48:54,4,560,0,0,0,0,0,0,0,0,560,0,0
2014-03-13 09:48:57,6,337,0,0,12,0,0,0,0,25,300,0,0
2014-03-13 09:48:58,7,782,0,0,582,0,200,0,0,0,0,0,0
2014-03-13 09:49:28,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:49:38,16,1311,0,0,296,0,0,0,0,815,200,0,0
2014-03-13 09:49:45,7,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:49:48,3,400,0,0,100,0,0,0,300,0,0,0,0
2014-03-13 09:49:50,1,2,2,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:49:52,16,800,0,0,100,0,300,0,100,100,100,100,0
2014-03-13 09:49:58,4,267,0,0,0,0,0,0,0,167,0,100,0
