TimeInterval,TradeCount,Volume,BATS,NYSE,NASDAQ OMX PSX,Direct Edge A,CBOE,NASDAQ OMX,NYSE Arca SM,National,BATS Y,NASDAQ OMX BX,Direct Edge X
2014-03-13 13:19:40,6,30,0,0,0,0,0,30,0,0,0,0,0
2014-03-13 13:19:52,1,20,0,0,0,0,0,20,0,0,0,0,0
2014-03-13 13:20:06,1,8,0,0,0,0,0,8,0,0,0,0,0
2014-03-13 13:20:24,1,25,0,0,0,0,0,25,0,0,0,0,0
2014-03-13 13:20:26,1,5,0,0,0,0,0,5,0,0,0,0,0
2014-03-13 13:21:23,1,8,0,0,8,0,0,0,0,0,0,0,0
2014-03-13 13:22:11,1,6,0,0,0,0,0,6,0,0,0,0,0
2014-03-13 13:22:24,2,20,0,0,0,0,18,2,0,0,0,0,0
2014-03-13 13:22:54,1,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 13:23:18,2,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 13:26:08,1,6,0,0,0,0,0,6,0,0,0,0,0
2014-03-13 13:26:16,9,25,0,0,0,0,0,25,0,0,0,0,0
2014-03-13 13:26:28,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:26:31,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:26:35,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:26:38,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:26:41,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:26:45,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:26:48,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:26:58,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:26:59,6,17,0,0,0,0,0,17,0,0,0,0,0
2014-03-13 13:27:58,1,15,0,0,0,0,0,15,0,0,0,0,0
2014-03-13 13:28:39,3,34,0,0,0,0,0,34,0,0,0,0,0
2014-03-13 13:30:58,4,4,0,0,4,0,0,0,0,0,0,0,0
2014-03-13 13:31:00,2,3,0,0,3,0,0,0,0,0,0,0,0
2014-03-13 13:31:24,10,27,0,0,27,0,0,0,0,0,0,0,0
2014-03-13 13:31:26,4,5,0,0,5,0,0,0,0,0,0,0,0
2014-03-13 13:32:02,7,35,0,0,0,0,0,35,0,0,0,0,0
2014-03-13 13:32:33,1,16,0,0,0,0,0,16,0,0,0,0,0
2014-03-13 13:32:50,2,20,0,0,0,0,0,0,0,0,0,0,20
2014-03-13 13:33:40,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 13:33:44,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 13:33:49,5,9,0,0,0,0,0,9,0,0,0,0,0
2014-03-13 13:33:50,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:33:51,5,7,0,0,0,0,0,7,0,0,0,0,0
2014-03-13 13:33:54,1,7,0,0,0,0,0,7,0,0,0,0,0
2014-03-13 13:34:30,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-03-13 13:35:18,4,35,0,35,0,0,0,0,0,0,0,0,0
2014-03-13 13:35:54,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:36:04,1,9,0,9,0,0,0,0,0,0,0,0,0
2014-03-13 13:36:19,1,3,0,3,0,0,0,0,0,0,0,0,0
2014-03-13 13:37:22,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 13:37:25,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 13:37:35,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:38:39,1,5,0,0,0,0,0,5,0,0,0,0,0
2014-03-13 13:38:57,1,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 13:39:01,1,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 13:39:14,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:39:53,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:40:17,1,12,0,0,0,0,0,12,0,0,0,0,0
2014-03-13 13:41:02,4,112,0,0,0,0,0,112,0,0,0,0,0
2014-03-13 13:44:10,1,9,0,0,0,0,0,9,0,0,0,0,0
2014-03-13 13:44:18,2,6,0,0,0,0,0,6,0,0,0,0,0
2014-03-13 13:44:46,1,5,0,0,0,0,0,5,0,0,0,0,0
2014-03-13 13:45:02,3,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 13:46:14,3,45,0,0,0,0,0,0,0,0,0,0,45
2014-03-13 13:47:29,3,113,0,0,0,0,0,0,0,0,0,0,113
2014-03-13 13:54:57,1,4,0,0,0,0,0,0,0,0,0,0,4
2014-03-13 13:55:06,13,188,0,0,0,0,0,36,52,0,0,0,100
2014-03-13 13:57:16,1,83,0,0,83,0,0,0,0,0,0,0,0
2014-03-13 13:59:14,5,130,0,3,0,0,0,102,0,0,0,25,0
2014-03-13 13:59:45,2,25,0,25,0,0,0,0,0,0,0,0,0
2014-03-13 13:59:51,2,103,0,3,0,0,0,0,0,0,0,100,0
2014-03-13 14:00:05,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 14:01:52,2,200,0,0,0,100,0,0,0,0,0,100,0
2014-03-13 14:04:27,1,3,0,3,0,0,0,0,0,0,0,0,0
2014-03-13 14:04:46,1,20,0,20,0,0,0,0,0,0,0,0,0
2014-03-13 14:06:28,4,8,0,8,0,0,0,0,0,0,0,0,0
2014-03-13 14:09:01,3,38,0,38,0,0,0,0,0,0,0,0,0
2014-03-13 14:09:15,1,16,0,16,0,0,0,0,0,0,0,0,0
2014-03-13 14:09:38,4,51,0,51,0,0,0,0,0,0,0,0,0
2014-03-13 14:09:46,1,20,0,20,0,0,0,0,0,0,0,0,0
2014-03-13 14:09:51,1,57,0,57,0,0,0,0,0,0,0,0,0
2014-03-13 14:18:54,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 14:19:46,1,16,0,0,16,0,0,0,0,0,0,0,0
2014-03-13 14:20:29,3,23,0,0,0,23,0,0,0,0,0,0,0
2014-03-13 14:20:34,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 14:21:24,1,15,15,0,0,0,0,0,0,0,0,0,0
2014-03-13 14:22:30,1,16,0,0,0,0,0,16,0,0,0,0,0
2014-03-13 14:22:38,1,16,0,0,0,0,0,16,0,0,0,0,0
2014-03-13 14:25:18,1,20,0,0,0,0,0,20,0,0,0,0,0
2014-03-13 14:26:02,5,103,0,0,0,0,0,103,0,0,0,0,0
2014-03-13 14:26:08,3,170,0,0,0,0,0,170,0,0,0,0,0
2014-03-13 14:26:34,1,56,0,0,0,0,0,0,0,0,0,0,56
2014-03-13 14:27:23,1,13,0,0,0,0,0,13,0,0,0,0,0
2014-03-13 14:27:28,1,83,0,0,0,0,0,83,0,0,0,0,0
2014-03-13 14:30:50,3,69,0,0,0,0,0,0,69,0,0,0,0
2014-03-13 14:30:58,1,31,0,0,0,0,0,0,31,0,0,0,0
2014-03-13 14:30:59,2,100,0,0,0,0,0,99,1,0,0,0,0
2014-03-13 14:31:00,3,101,0,0,0,0,0,101,0,0,0,0,0
2014-03-13 14:31:52,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 14:31:53,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 14:32:56,2,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 14:32:57,4,105,0,0,0,0,0,105,0,0,0,0,0
2014-03-13 14:33:06,2,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 14:33:23,1,4,0,0,0,0,0,0,0,0,0,0,4
2014-03-13 14:33:26,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 14:33:30,14,749,0,0,0,0,0,703,46,0,0,0,0
2014-03-13 14:35:17,1,40,0,0,0,0,0,0,40,0,0,0,0
2014-03-13 14:38:36,2,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 14:40:29,6,285,0,0,0,0,0,227,58,0,0,0,0
2014-03-13 14:42:23,2,6,0,2,0,0,0,4,0,0,0,0,0
2014-03-13 14:43:18,3,102,0,0,0,0,0,2,100,0,0,0,0
2014-03-13 14:44:02,2,37,0,0,0,0,0,37,0,0,0,0,0
2014-03-13 14:44:04,1,61,0,0,0,0,0,61,0,0,0,0,0
2014-03-13 14:45:57,3,23,0,0,0,0,0,23,0,0,0,0,0
2014-03-13 14:46:16,6,200,0,0,0,0,0,0,103,0,0,0,97
2014-03-13 14:46:17,1,104,0,0,0,0,0,0,0,0,0,0,104
2014-03-13 14:46:18,11,906,0,0,0,0,100,0,0,0,0,0,806
2014-03-13 14:47:02,1,3,3,0,0,0,0,0,0,0,0,0,0
2014-03-13 14:47:19,1,5,0,0,0,0,0,5,0,0,0,0,0
2014-03-13 14:47:27,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 14:47:41,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 14:49:52,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 14:49:58,1,10,0,10,0,0,0,0,0,0,0,0,0
2014-03-13 14:49:59,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 14:50:10,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 14:50:19,3,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 14:50:24,1,66,0,0,0,0,0,66,0,0,0,0,0
2014-03-13 14:50:27,6,229,100,0,0,0,0,129,0,0,0,0,0
2014-03-13 14:50:48,1,6,6,0,0,0,0,0,0,0,0,0,0
2014-03-13 14:50:54,1,6,6,0,0,0,0,0,0,0,0,0,0
2014-03-13 14:50:59,1,12,12,0,0,0,0,0,0,0,0,0,0
